Model Name,Ground Truth(GT),True Positive(TP),False Positive(FP),False Negative(FN),Average Precision,Average Recall,Average Time
ssd_inception_v2_coco_2018_01_28,782,1,166,781,0.0034482758620689655,0.0007662835249042145,344.3551449775696
ssd_mobilenet_v1_coco_2018_01_28,782,1,122,781,0.0034482758620689655,0.0007662835249042145,321.7027723789215
faster_rcnn_inception_v2_coco_2018_01_28,782,13,817,769,0.019822361546499478,0.01962233169129721,451.9506754875183
mask_rcnn_inception_v2_coco_2018_01_28,782,66,723,716,0.09450937950937952,0.08723316912972087,1578.2481739521027
